date,gold_close,gold_source
2017-07-08,1213.3271858089,AlphaVantage:GOLD:daily
2017-07-09,1213.3713523024,AlphaVantage:GOLD:daily
2017-07-10,1213.7507490587,AlphaVantage:GOLD:daily
2017-07-11,1217.7235103688,AlphaVantage:GOLD:daily
2017-07-12,1219.4189045781,AlphaVantage:GOLD:daily
2017-07-13,1217.578696354,AlphaVantage:GOLD:daily
2017-07-14,1228.663334746,AlphaVantage:GOLD:daily
2017-07-15,1228.7050063585,AlphaVantage:GOLD:daily
2017-07-16,1231.2617354634,AlphaVantage:GOLD:daily
2017-07-17,1233.3454948545,AlphaVantage:GOLD:daily
2017-07-18,1242.3291811407,AlphaVantage:GOLD:daily
2017-07-19,1240.8328048269,AlphaVantage:GOLD:daily
2017-07-20,1244.0165573759,AlphaVantage:GOLD:daily
2017-07-21,1254.7031095043,AlphaVantage:GOLD:daily
2017-07-22,1254.8547191949,AlphaVantage:GOLD:daily
2017-07-23,1256.2814070352,AlphaVantage:GOLD:daily
2017-07-24,1253.9071504392,AlphaVantage:GOLD:daily
2017-07-25,1247.5002809086,AlphaVantage:GOLD:daily
2017-07-26,1260.6667934885,AlphaVantage:GOLD:daily
2017-07-27,1259.347114529,AlphaVantage:GOLD:daily
2017-07-28,1269.0960137402,AlphaVantage:GOLD:daily
2017-07-29,1269.2690913937,AlphaVantage:GOLD:daily
2017-07-30,1270.4704552096,AlphaVantage:GOLD:daily
2017-07-31,1268.0640924261,AlphaVantage:GOLD:daily
2017-08-01,1267.8869238776,AlphaVantage:GOLD:daily
2017-08-02,1263.9537065286,AlphaVantage:GOLD:daily
2017-08-03,1268.8207081425,AlphaVantage:GOLD:daily
2017-08-04,1258.6651998998,AlphaVantage:GOLD:daily
2017-08-05,1259.0731962203,AlphaVantage:GOLD:daily
2017-08-06,1257.655980783,AlphaVantage:GOLD:daily
2017-08-07,1257.6618857047,AlphaVantage:GOLD:daily
2017-08-08,1261.6228843566,AlphaVantage:GOLD:daily
