date,trend_tariff,trend_inflation,trend_war,trend_tariff_ma_7d,trend_tariff_ma_20d,trend_tariff_z_60d,trend_tariff_spike,trend_inflation_ma_7d,trend_inflation_ma_20d,trend_inflation_z_60d,trend_inflation_spike,trend_war_ma_7d,trend_war_ma_20d,trend_war_z_60d,trend_war_spike
2025-03-06,10.0,34.133333333333326,30.051796157059314,9.714285714285714,10.35,-0.23983312218133807,0,34.36190476190476,36.74666666666666,0.4359302481309768,0,29.672992003819072,27.731620718462818,1.9318197925385667,0
2025-03-07,10.0,34.133333333333326,30.051796157059314,10.0,10.2,-0.25342731878959074,0,34.133333333333326,36.45333333333333,0.40900429862322374,0,30.051796157059314,27.93049289891395,1.871375639369627,0
2025-03-08,35.0,32.0,30.051796157059314,13.571428571428571,11.3,1.876620122938994,0,33.82857142857142,36.05333333333333,-0.08027704897149839,0,30.051796157059314,28.12936507936508,1.8184332119727578,0
2025-03-09,35.0,32.0,30.051796157059314,17.142857142857142,12.4,1.7926823034193127,0,33.52380952380952,35.65333333333333,-0.12328159378139152,0,30.051796157059314,28.328237259816206,1.7725998439122619,0
2025-03-10,35.0,32.0,30.051796157059314,20.714285714285715,13.5,1.716331618881169,0,33.219047619047615,35.25333333333333,-0.17151438178316858,0,30.051796157059314,28.52710944026733,1.7337531791269967,0
2025-03-11,35.0,32.0,30.051796157059314,24.285714285714285,14.6,1.6464119460417104,0,32.91428571428571,34.85333333333333,-0.22680093927638426,0,30.051796157059314,28.72598162071846,1.7020651614121018,0
2025-03-12,35.0,32.0,30.051796157059314,27.857142857142858,15.7,1.580244723872779,0,32.60952380952381,34.45333333333333,-0.2626629846767472,0,30.051796157059314,28.924853801169586,1.6329030194982577,0
2025-03-13,35.0,32.0,30.051796157059314,31.428571428571427,16.8,1.5189596130238285,0,32.304761904761904,34.05333333333333,-0.3014732091955438,0,30.051796157059314,29.12372598162072,1.569119513813275,0
2025-03-14,35.0,32.0,30.051796157059314,35.0,18.15,1.4619134003205563,0,32.0,33.86666666666666,-0.34386689844941776,0,30.051796157059314,29.256307435254804,1.509992459628962,0
2025-03-15,25.0,44.266666666666666,26.958228905597323,33.57142857142857,19.0,0.6428817046954107,0,33.75238095238095,34.29333333333333,2.9852435403597752,1,29.60985797827903,29.234210526315785,0.17693407274509032,0
2025-03-16,25.0,44.266666666666666,26.958228905597323,32.142857142857146,19.85,0.6186277235759658,0,35.50476190476191,34.71999999999999,2.812970933745835,1,29.167919799498748,29.212113617376776,0.15657974159572283,0
2025-03-17,25.0,44.266666666666666,26.958228905597323,30.714285714285715,20.7,0.5945861971458873,0,37.25714285714286,35.14666666666666,2.670874018028901,1,28.725981620718464,29.19001670843776,0.13584541495748143,0
2025-03-18,25.0,44.266666666666666,26.958228905597323,29.285714285714285,21.55,0.5707098905572006,0,39.009523809523806,35.57333333333333,2.5526128669578783,1,28.284043441938177,29.167919799498748,0.11467864200056224,0
2025-03-19,25.0,44.266666666666666,26.958228905597323,27.857142857142858,22.4,0.5474535362729257,0,40.76190476190476,35.99999999999999,2.3894931302175233,1,27.842105263157894,29.145822890559735,0.09302063687912551,0
2025-03-20,25.0,44.266666666666666,26.958228905597323,26.428571428571427,23.25,0.5242924340468221,0,42.51428571428571,36.42666666666666,2.2498897978544696,1,27.40016708437761,29.123725981620716,0.0708050334052844,0
